year,injdur,pc
2014,7,0.0302882266731803
2014,8,0.0351734245236932
2014,9,0.0229604298974108
2014,10,0.0429897410845139
2014,11,0.0356619443087445
2014,12,0.0346849047386419
2014,13,0.0307767464582316
2014,14,0.0527601367855398
2014,15,0.0468978993649243
2014,16,0.0395701025891549
2014,17,0.0385930630190523
2014,18,0.0390815828041036
2014,19,0.0366389838788471
2014,20,0.0341963849535906
2014,21,0.0366389838788471
2014,22,0.0244259892525647
2014,23,0.0278456277479238
2014,24,0.0185637518319492
2014,25,0.0219833903273083
2014,26,0.0127015144113337
2014,27,0.0112359550561798
2014,28,0.0122129946262824
2014,29,0.0127015144113337
2014,30,0.0107474352711285
2014,31,0.00732779677576942
2014,32,0.0102589154860772
2014,33,0.00732779677576942
2014,34,0.00586223742061554
2014,35,0.00390815828041036
2014,36,0.00341963849535906
2014,37,0.00195407914020518
2014,38,0.00195407914020518
2014,39,0
2014,40,0.00146555935515388
2015,0,0.030801911842804
2015,1,0.0366436537440255
2015,2,0.0456718003186405
2015,3,0.0313329792883696
2015,4,0.0302708443972385
2015,5,0.0249601699415826
2015,6,0.0254912373871482
2015,7,0.0318640467339352
2015,8,0.033457249070632
2015,9,0.0323951141795008
2015,10,0.0366436537440255
2015,11,0.0297397769516729
2015,12,0.0377057886351567
2015,13,0.039830058417419
2015,14,0.0419543281996814
2015,15,0.0414232607541158
2015,16,0.0424853956452469
2015,17,0.0419543281996814
2015,18,0.0350504514073287
2015,19,0.0361125862984599
2015,20,0.0382368560807223
2015,21,0.0345193839617631
2015,22,0.030801911842804
2015,23,0.024429102496017
2015,24,0.0254912373871482
2015,25,0.0196494954859267
2015,26,0.0191184280403611
2015,27,0.00902814657461498
2015,28,0.0111524163568773
2015,29,0.0079660116834838
2015,30,0.015400955921402
2015,31,0.0079660116834838
2015,32,0.0122145512480085
2015,33,0.00584174190122146
2015,34,0.0079660116834838
2015,35,0.00371747211895911
2015,36,0.00318640467339352
2015,37,0.00212426978226235
2015,38,0.00531067445565587
2015,39,0.00106213489113117
2015,40,0.00318640467339352
2016,0,0.0297029702970297
2016,1,0.0286607608129234
2016,2,0.0317873892652423
2016,3,0.0359562272016675
2016,4,0.0281396560708702
2016,5,0.0198019801980198
2016,6,0.0260552371026576
2016,7,0.0229286086503387
2016,8,0.0338718082334549
2016,9,0.0286607608129234
2016,10,0.0416883793642522
2016,11,0.0250130276185513
2016,12,0.0401250651380928
2016,13,0.0333507034914018
2016,14,0.0265763418447108
2016,15,0.0479416362688901
2016,16,0.0458572173006774
2016,17,0.0312662845231892
2016,18,0.0474205315268369
2016,19,0.0458572173006774
2016,20,0.0448150078165711
2016,21,0.037519541427827
2016,22,0.0291818655549766
2016,23,0.0297029702970297
2016,24,0.0291818655549766
2016,25,0.0286607608129234
2016,26,0.0208441896821261
2016,27,0.013548723293382
2016,28,0.00937988535695675
2016,29,0.0119854090672225
2016,30,0.0145909327774883
2016,31,0.0119854090672225
2016,32,0.00937988535695675
2016,33,0.00625325690463783
2016,34,0.00677436164669099
2016,35,0.00625325690463783
2016,36,0.00625325690463783
2016,37,0.00104220948410631
2016,38,0.00521104742053153
2016,39,0.00260552371026576
2016,40,0.00104220948410631
2017,0,0.0357941834451902
2017,1,0.0251677852348993
2017,2,0.0307606263982103
2017,3,0.029082774049217
2017,4,0.0251677852348993
2017,5,0.0302013422818792
2017,6,0.029082774049217
2017,7,0.0274049217002237
2017,8,0.0279642058165548
2017,9,0.0262863534675615
2017,10,0.0397091722595078
2017,11,0.0307606263982103
2017,12,0.0240492170022371
2017,13,0.023489932885906
2017,14,0.0436241610738255
2017,15,0.0357941834451902
2017,16,0.0385906040268456
2017,17,0.0469798657718121
2017,18,0.0352348993288591
2017,19,0.0380313199105145
2017,20,0.0447427293064877
2017,21,0.0425055928411633
2017,22,0.0341163310961969
2017,23,0.0341163310961969
2017,24,0.0257270693512304
2017,25,0.0257270693512304
2017,26,0.0162192393736018
2017,27,0.0178970917225951
