yr,fit,lower,higher,tau,region,parameter
2005,18.2857142857142,15.7531301778708,20.8182983935577,0.25,Lothian_and_Tayside,age_init
2006,19.6190476190476,17.9559127271358,21.2821825109594,0.25,Lothian_and_Tayside,age_init
2007,20.8571428571428,19.7939312595071,21.9203544547785,0.25,Lothian_and_Tayside,age_init
2008,22,21.1695875593056,22.8304124406943,0.25,Lothian_and_Tayside,age_init
2009,23.047619047619,22.1399597938669,23.9552783013711,0.25,Lothian_and_Tayside,age_init
2010,24,22.9457413404153,25.0542586595846,0.25,Lothian_and_Tayside,age_init
2011,24.8571428571428,23.704482987152,26.0098027271336,0.25,Lothian_and_Tayside,age_init
2012,25.6190476190476,24.4151129577774,26.8229822803178,0.25,Lothian_and_Tayside,age_init
2013,26.2857142857142,25.0027423396796,27.5686862317489,0.25,Lothian_and_Tayside,age_init
2014,26.8571428571428,25.3444350668782,28.3698506474075,0.25,Lothian_and_Tayside,age_init
2015,27.3333333333333,25.3473377949519,29.3193288717147,0.25,Lothian_and_Tayside,age_init
2016,27.7142857142857,24.9977540319661,30.4308173966052,0.25,Lothian_and_Tayside,age_init
2017,28,24.3178591410912,31.6821408589087,0.25,Lothian_and_Tayside,age_init
2018,28.1904761904761,23.3281991293506,33.0527532516017,0.25,Lothian_and_Tayside,age_init
2019,28.2857142857142,22.0415237597836,34.5299048116449,0.25,Lothian_and_Tayside,age_init
2005,22.4,19.9191946781568,24.8808053218431,0.5,Lothian_and_Tayside,age_init
2006,23.75,22.0829397474817,25.4170602525183,0.5,Lothian_and_Tayside,age_init
2007,25,23.9253487828264,26.0746512171735,0.5,Lothian_and_Tayside,age_init
2008,26.15,25.3771673430694,26.9228326569305,0.5,Lothian_and_Tayside,age_init
2009,27.2,26.4370028855477,27.9629971144522,0.5,Lothian_and_Tayside,age_init
2010,28.15,27.2863925486034,29.0136074513965,0.5,Lothian_and_Tayside,age_init
2011,29,28.059330008578,29.9406699914219,0.5,Lothian_and_Tayside,age_init
2012,29.75,28.7720984252818,30.7279015747182,0.5,Lothian_and_Tayside,age_init
2013,30.4,29.3619813320812,31.4380186679187,0.5,Lothian_and_Tayside,age_init
2014,30.95,29.7146155860959,32.185384413904,0.5,Lothian_and_Tayside,age_init
2015,31.4,29.7445610051201,33.0554389948798,0.5,Lothian_and_Tayside,age_init
2016,31.75,29.443731377152,34.0562686228479,0.5,Lothian_and_Tayside,age_init
2017,32,28.8345274661998,35.1654725338001,0.5,Lothian_and_Tayside,age_init
2018,32.15,27.9352966455588,36.3647033544411,0.5,Lothian_and_Tayside,age_init
2019,32.2,26.7567481101955,37.6432518898044,0.5,Lothian_and_Tayside,age_init
2005,26.4074074074074,22.4970441395782,30.3177706752365,0.75,Lothian_and_Tayside,age_init
2006,28.2962962962962,25.6013355475249,30.9912570450676,0.75,Lothian_and_Tayside,age_init
2007,29.9999999999999,28.2008014859323,31.7991985140676,0.75,Lothian_and_Tayside,age_init
2008,31.5185185185185,30.1982356715281,32.8388013655088,0.75,Lothian_and_Tayside,age_init
2009,32.8518518518518,31.5785822021415,34.1251215015621,0.75,Lothian_and_Tayside,age_init
2010,34,32.577805683697,35.4221943163029,0.75,Lothian_and_Tayside,age_init
2011,34.9629629629629,33.410631719072,36.5152942068539,0.75,Lothian_and_Tayside,age_init
2012,35.7407407407407,34.1420437581864,37.339437723295,0.75,Lothian_and_Tayside,age_init
2013,36.3333333333333,34.7379422128002,37.9287244538663,0.75,Lothian_and_Tayside,age_init
2014,36.7407407407407,35.0753882678549,38.4060932136265,0.75,Lothian_and_Tayside,age_init
2015,36.9629629629629,34.976367468207,38.9495584577189,0.75,Lothian_and_Tayside,age_init
2016,37,34.3387747061118,39.6612252938881,0.75,Lothian_and_Tayside,age_init
2017,36.8518518518518,33.1764688486231,40.5272348550805,0.75,Lothian_and_Tayside,age_init
2018,36.5185185185185,31.5320472627707,41.5049897742663,0.75,Lothian_and_Tayside,age_init
2019,36,29.4347987901286,42.5652012098713,0.75,Lothian_and_Tayside,age_init
2005,19.952380952381,17.6169792263401,22.2877826784219,0.25,Other,age_init
2006,20.2857142857143,18.62248393973,21.9489446316986,0.25,Other,age_init
2007,20.6349206349207,19.4802153835749,21.7896258862664,0.25,Other,age_init
2008,21,20.1449536938465,21.8550463061536,0.25,Other,age_init
2009,21.3809523809524,20.5946649479485,22.1672398139563,0.25,Other,age_init
2010,21.7777777777778,20.9198353218611,22.6357202336945,0.25,Other,age_init
2011,22.1904761904762,21.2373219698128,23.1436304111396,0.25,Other,age_init
2012,22.6190476190476,21.5981828741636,23.6399123639317,0.25,Other,age_init
2013,23.0634920634921,22.002213787608,24.1247703393761,0.25,Other,age_init
2014,23.5238095238095,22.4134668093705,24.6341522382485,0.25,Other,age_init
2015,24,22.7685830851421,25.2314169148579,0.25,Other,age_init
2016,24.4920634920635,23.0040704557289,25.9800565283981,0.25,Other,age_init
2017,25,23.0905611905517,26.9094388094483,0.25,Other,age_init
2018,25.5238095238095,23.0309330494049,28.0166859982142,0.25,Other,age_init
2019,26.0634920634921,22.8378517352398,29.2891323917444,0.25,Other,age_init
2005,25.12,23.3144021224032,26.9255978775968,0.5,Other,age_init
2006,25.28,23.9713260137393,26.5886739862608,0.5,Other,age_init
2007,25.48,24.5227959331243,26.4372040668757,0.5,Other,age_init
2008,25.72,24.9266755073722,26.5133244926279,0.5,Other,age_init
2009,26,25.1935238147865,26.8064761852135,0.5,Other,age_init
2010,26.32,25.4156639888913,27.2243360111087,0.5,Other,age_init
2011,26.68,25.674939448637,27.6850605513631,0.5,Other,age_init
2012,27.08,26.009506377673,28.150493622327,0.5,Other,age_init
2013,27.52,26.4319298588542,28.6080701411458,0.5,Other,age_init
2014,28,26.9404387430281,29.059561256972,0.5,Other,age_init
2015,28.52,27.5194801442582,29.5205198557419,0.5,Other,age_init
2016,29.08,28.1324614038826,30.0275385961174,0.5,Other,age_init
2017,29.68,28.7146393698413,30.6453606301587,0.5,Other,age_init
2018,30.32,29.1964974486049,31.4435025513951,0.5,Other,age_init
2019,31,29.5550631459191,32.4449368540809,0.5,Other,age_init
2005,28,24.9851016134558,31.0148983865442,0.75,Other,age_init
2006,29.15625,26.9210045624071,31.3914954375929,0.75,Other,age_init
2007,30.2083333333334,28.5728302824325,31.8438363842342,0.75,Other,age_init
2008,31.15625,29.893816597174,32.418683402826,0.75,Other,age_init
2009,32,30.857611508701,33.142388491299,0.75,Other,age_init
2010,32.7395833333334,31.5376764715499,33.9414901951169,0.75,Other,age_init
2011,33.375,32.0590448883244,34.6909551116756,0.75,Other,age_init
2012,33.90625,32.5028318039947,35.3096681960054,0.75,Other,age_init
2013,34.3333333333334,32.9033625573121,35.7633041093546,0.75,Other,age_init
2014,34.65625,33.2678029268002,36.0446970731998,0.75,Other,age_init
2015,34.875,33.5817562773772,36.1682437226229,0.75,Other,age_init
2016,34.9895833333334,33.7994015093903,36.1797651572764,0.75,Other,age_init
2017,35,33.8247451801996,36.1752548198004,0.75,Other,age_init
2018,34.90625,33.538231351443,36.274268648557,0.75,Other,age_init
2019,34.7083333333334,32.8984016814852,36.5182649851815,0.75,Other,age_init
2005,20.3766233766233,18.9214013061674,21.8318454470792,0.25,Scotland,age_init
2006,20.9999999999999,19.9656543243432,22.0343456756567,0.25,Scotland,age_init
2007,21.6103896103896,20.8887731267768,22.3320060940024,0.25,Scotland,age_init
2008,22.2077922077922,21.658060866003,22.7575235495813,0.25,Scotland,age_init
2009,22.7922077922077,22.2649451301315,23.319470454284,0.25,Scotland,age_init
2010,23.3636363636363,22.7774589353301,23.9498137919425,0.25,Scotland,age_init
2011,23.9220779220779,23.2692184807161,24.5749373634396,0.25,Scotland,age_init
2012,24.4675324675324,23.7712177159928,25.1638472190721,0.25,Scotland,age_init
2013,24.9999999999999,24.285695154076,25.7143048459239,0.25,Scotland,age_init
2014,25.5194805194805,24.7950115679528,26.2439494710081,0.25,Scotland,age_init
2015,26.025974025974,25.2624419452916,26.7895061066563,0.25,Scotland,age_init
2016,26.5194805194805,25.6416297422407,27.3973312967203,0.25,Scotland,age_init
2017,26.9999999999999,25.9020258021581,28.0979741978418,0.25,Scotland,age_init
2018,27.4675324675324,26.0401977796573,28.8948671554075,0.25,Scotland,age_init
2019,27.9220779220779,26.065436571044,29.7787192731118,0.25,Scotland,age_init
2005,24.1363636363636,23.1214150531884,25.1513122195387,0.5,Scotland,age_init
2006,24.9999999999999,24.2803597303968,25.719640269603,0.5,Scotland,age_init
2007,25.810606060606,25.297800894276,26.323411226936,0.5,Scotland,age_init
2008,26.5681818181818,26.1460142714567,26.9903493649068,0.5,Scotland,age_init
2009,27.2727272727272,26.8341298337795,27.7113247116749,0.5,Scotland,age_init
2010,27.9242424242424,27.4242568078065,28.4242280406782,0.5,Scotland,age_init
2011,28.5227272727272,27.9645680227469,29.0808865227075,0.5,Scotland,age_init
2012,29.0681818181818,28.4737310962075,29.662632540156,0.5,Scotland,age_init
2013,29.560606060606,28.9542366537503,30.1669754674617,0.5,Scotland,age_init
2014,29.9999999999999,29.3978706177913,30.6021293822086,0.5,Scotland,age_init
2015,30.3863636363636,29.7847376126603,30.9879896600669,0.5,Scotland,age_init
2016,30.7196969696969,30.0827562718607,31.3566376675332,0.5,Scotland,age_init
2017,30.9999999999999,30.2587315998752,31.7412684001247,0.5,Scotland,age_init
2018,31.2272727272727,30.2972817077128,32.1572637468326,0.5,Scotland,age_init
2019,31.4015151515151,30.2017847532128,32.6012455498173,0.5,Scotland,age_init
2005,28.8499999999999,27.544878132313,30.1551218676868,0.75,Scotland,age_init
2006,29.9999999999999,29.0978924915058,30.9021075084941,0.75,Scotland,age_init
2007,31.0499999999999,30.4245490431664,31.6754509568335,0.75,Scotland,age_init
2008,31.9999999999999,31.4834401488592,32.5165598511407,0.75,Scotland,age_init
2009,32.8499999999999,32.2963747036499,33.40362529635,0.75,Scotland,age_init
2010,33.5999999999999,32.9593703528286,34.2406296471712,0.75,Scotland,age_init
2011,34.2499999999999,33.5336088397011,34.9663911602988,0.75,Scotland,age_init
2012,34.7999999999999,34.035770837797,35.5642291622029,0.75,Scotland,age_init
2013,35.2499999999999,34.4585072327371,36.0414927672628,0.75,Scotland,age_init
2014,35.5999999999999,34.7763046256897,36.4236953743102,0.75,Scotland,age_init
2015,35.8499999999999,34.9485848139259,36.751415186074,0.75,Scotland,age_init
2016,35.9999999999999,34.9343550164977,37.0656449835022,0.75,Scotland,age_init
2017,36.0499999999999,34.7124703056436,37.3875296943563,0.75,Scotland,age_init
2018,36,34.2828745133314,37.7171254866685,0.75,Scotland,age_init
2019,35.8499999999999,33.6535340790588,38.0464659209411,0.75,Scotland,age_init
2008,5.16735112936345,4.59336114074523,5.74134111798167,0.25,GCC,dur
2009,5.87355070209279,5.47643830771493,6.27066309647066,0.25,GCC,dur
2010,6.53589073486404,6.18253053712337,6.88925093260471,0.25,GCC,dur
2011,7.15437122767718,6.75244278679754,7.55629966855682,0.25,GCC,dur
2012,7.72899218053222,7.26337068202087,8.19461367904356,0.25,GCC,dur
2013,8.25975359342915,7.75165939432337,8.76784779253493,0.25,GCC,dur
2014,8.74665546636798,8.22549272789132,9.26781820484464,0.25,GCC,dur
2015,9.18969779934871,8.67820907180902,9.7011865268884,0.25,GCC,dur
2016,9.58888059237133,9.08775753752995,10.0900036472127,0.25,GCC,dur
2017,9.94420384543585,9.41361436167066,10.474793329201,0.25,GCC,dur
2018,10.2556675585423,9.61325278617187,10.8980823309127,0.25,GCC,dur
2019,10.5232717316906,9.67298832900205,11.3735551343791,0.25,GCC,dur
2008,9.63033310517915,9.06723355398261,10.1934326563757,0.5,GCC,dur
2009,10.5903490759754,10.2092150544568,10.971483097494,0.5,GCC,dur
2010,11.5170773442848,11.2182795494671,11.8158751391024,0.5,GCC,dur
2011,12.4105179101073,12.102467772417,12.7185680477975,0.5,GCC,dur
2012,13.2706707734429,12.9209334386776,13.6204081082082,0.5,GCC,dur
2013,14.0975359342916,13.7151764725597,14.4798953960235,0.5,GCC,dur
2014,14.8911133926534,14.4965970288338,15.2856297564731,0.5,GCC,dur
