year,md,lower,upper,region,parameter
1992,20,18,22,West Midlands,age_init
1993,21,17.5,25.5,West Midlands,age_init
1994,22,19.25,24,West Midlands,age_init
1996,21,19,24.75,West Midlands,age_init
1995,22,17.5,25,West Midlands,age_init
1997,21.5,17,26.25,West Midlands,age_init
1998,21,18.25,24.75,West Midlands,age_init
1999,22,20.75,28,West Midlands,age_init
2000,23.5,21,27.75,West Midlands,age_init
2001,22.5,19.5,29.75,West Midlands,age_init
2002,21,19,27,West Midlands,age_init
2003,23,18,25,West Midlands,age_init
2004,26,21,30,West Midlands,age_init
2005,25,21.25,27,West Midlands,age_init
2006,26,22,28,West Midlands,age_init
2007,24,21,27,West Midlands,age_init
2008,26,23,30.75,West Midlands,age_init
2009,27,22,33,West Midlands,age_init
2010,24,21,30,West Midlands,age_init
2011,27,23,33.5,West Midlands,age_init
2012,28,24,32,West Midlands,age_init
2013,29,24,32,West Midlands,age_init
2014,28.5,24,30.75,West Midlands,age_init
2015,28,26,35.5,West Midlands,age_init
2016,33,28.5,41,West Midlands,age_init
2017,35,32,39,West Midlands,age_init
2018,37,33,47,West Midlands,age_init
2019,34,30,35,West Midlands,age_init
1987,24,24,24,Yorkshire & Humber,age_init
1990,21,21,21,Yorkshire & Humber,age_init
1988,19.5,17.5,20.5,Yorkshire & Humber,age_init
1989,20.5,19.25,21.75,Yorkshire & Humber,age_init
1991,19.5,18.25,28.25,Yorkshire & Humber,age_init
1992,19.5,19,20.25,Yorkshire & Humber,age_init
2000,26.5,21.25,33.5,Yorkshire & Humber,age_init
1998,23,23,23,Yorkshire & Humber,age_init
2001,24,18.25,27.5,Yorkshire & Humber,age_init
2002,22.5,21.25,25,Yorkshire & Humber,age_init
1999,25,22,25.5,Yorkshire & Humber,age_init
2003,24,20.5,27.5,Yorkshire & Humber,age_init
2005,24.5,20.75,30.25,Yorkshire & Humber,age_init
2004,24.5,20,30.75,Yorkshire & Humber,age_init
2006,23,21.25,27.5,Yorkshire & Humber,age_init
2007,30,25,35.5,Yorkshire & Humber,age_init
2008,23,19.25,28.75,Yorkshire & Humber,age_init
2009,26,21,33,Yorkshire & Humber,age_init
2010,26,21,30.75,Yorkshire & Humber,age_init
2011,28.5,24,31.75,Yorkshire & Humber,age_init
2012,27,24,33.5,Yorkshire & Humber,age_init
2013,29,24,36,Yorkshire & Humber,age_init
2014,26,24,31,Yorkshire & Humber,age_init
2015,31,25,34,Yorkshire & Humber,age_init
2016,37,28.5,38.75,Yorkshire & Humber,age_init
