year,fit,lower,higher,tau,region,parameter
2009,31.4278074866316,31.2024918815297,31.6531230917336,0.75,England,age_init_whole_sample
2010,31.9665775401076,31.7160627009629,32.2170923792523,0.75,England,age_init_whole_sample
2011,32.5147058823536,32.2368797352463,32.7925320294609,0.75,England,age_init_whole_sample
2012,33.0721925133696,32.7650044329853,33.379380593754,0.75,England,age_init_whole_sample
2013,33.6390374331557,33.300488683449,33.9775861828625,0.75,England,age_init_whole_sample
2014,34.2152406417119,33.8433757586602,34.5871055247636,0.75,England,age_init_whole_sample
2015,34.8008021390381,34.393701526405,35.2079027516712,0.75,England,age_init_whole_sample
2016,35.3957219251344,34.9514956593571,35.8399481909117,0.75,England,age_init_whole_sample
2017,36.0000000000007,35.516782722236,36.4832172777654,0.75,England,age_init_whole_sample
2018,36.6136363636371,36.089583099796,37.1376896274782,0.75,England,age_init_whole_sample
2019,37.2366310160435,36.6699137667124,37.8033482653746,0.75,England,age_init_whole_sample
1990,2.81818181818183,1.4816443368991,4.15471929946457,0.25,East Midlands,dur
1991,2.66666666666668,1.50678267901635,3.82655065431702,0.25,East Midlands,dur
1992,2.54545454545456,1.54856456013423,3.54234453077489,0.25,East Midlands,dur
1993,2.45454545454547,1.60652619384882,3.30256471524212,0.25,East Midlands,dur
1994,2.39393939393941,1.67998888065865,3.10788990722017,0.25,East Midlands,dur
1995,2.36363636363638,1.767956453702,2.95931627357075,0.25,East Midlands,dur
1996,2.36363636363637,1.86899635602352,2.85827637124923,0.25,East Midlands,dur
1997,2.3939393939394,1.981195164337,2.8066836235418,0.25,East Midlands,dur
1998,2.45454545454546,2.10246994492375,2.80662096416718,0.25,East Midlands,dur
1999,2.54545454545455,2.23169068057308,2.85921841033602,0.25,East Midlands,dur
2000,2.66666666666667,2.37046398282187,2.96286935051147,0.25,East Midlands,dur
2001,2.81818181818182,2.52381146120699,3.11255217515666,0.25,East Midlands,dur
2002,3,2.69840616401269,3.30159383598731,0.25,East Midlands,dur
2003,3.21212121212121,2.90013757795107,3.52410484629135,0.25,East Midlands,dur
2004,3.45454545454545,3.13300664682452,3.77608426226639,0.25,East Midlands,dur
2005,3.72727272727272,3.39916747267028,4.05537798187516,0.25,East Midlands,dur
2006,4.03030303030302,3.69925798922776,4.36134807137829,0.25,East Midlands,dur
2007,4.36363636363635,4.03259940831746,4.69467331895525,0.25,East Midlands,dur
2008,4.72727272727272,4.39720079368384,5.05734466086159,0.25,East Midlands,dur
2009,5.12121212121211,4.78968104358189,5.45274319884232,0.25,East Midlands,dur
2010,5.54545454545453,5.20539119311352,5.88551789779554,0.25,East Midlands,dur
2011,5.99999999999998,5.63913275654608,6.36086724345388,0.25,East Midlands,dur
2012,6.48484848484846,6.0865124277888,6.88318454190812,0.25,East Midlands,dur
2013,6.99999999999998,6.54511491779466,7.45488508220529,0.25,East Midlands,dur
2014,7.54545454545452,7.0145730540517,8.07633603685734,0.25,East Midlands,dur
2015,8.12121212121209,7.49574845352646,8.74667578889772,0.25,East Midlands,dur
2016,8.72727272727269,7.9898828069516,9.46466264759378,0.25,East Midlands,dur
2017,9.36363636363633,8.4981350751115,10.2291376521611,0.25,East Midlands,dur
2018,10.030303030303,9.02143430709401,11.039171753512,0.25,East Midlands,dur
2019,10.7272727272727,9.5604797701389,11.8940656844065,0.25,East Midlands,dur
1990,8.21871345029248,6.50792046590638,9.92950643467858,0.5,East Midlands,dur
1991,7.71929824561411,6.19477835051582,9.24381814071239,0.5,East Midlands,dur
1992,7.28070175438603,5.93049342772369,8.63091008104837,0.5,East Midlands,dur
1993,6.90292397660825,5.71484426283167,8.09100369038483,0.5,East Midlands,dur
1994,6.58596491228076,5.5475384218152,7.62439140274632,0.5,East Midlands,dur
1995,6.32982456140356,5.42818874014082,7.2314603826663,0.5,East Midlands,dur
1996,6.13450292397666,5.35628550165963,6.91272034629369,0.5,East Midlands,dur
1997,6.00000000000004,5.33117155031749,6.6688284496826,0.5,East Midlands,dur
1998,5.92631578947372,5.35204148291636,6.50059009603109,0.5,East Midlands,dur
1999,5.9134502923977,5.41801380406689,6.4088867807285,0.5,East Midlands,dur
2000,5.96140350877196,5.52835951404229,6.39444750350163,0.5,East Midlands,dur
2001,6.07017543859652,5.68295839383371,6.45739248335932,0.5,East Midlands,dur
2002,6.23976608187136,5.88288525582353,6.5966469079192,0.5,East Midlands,dur
2003,6.47017543859651,6.13072787932856,6.80962299786446,0.5,East Midlands,dur
2004,6.76140350877194,6.43022954826206,7.09257746928183,0.5,East Midlands,dur
2005,7.11345029239767,6.7854020516275,7.44149853316783,0.5,East Midlands,dur
2006,7.52631578947369,7.19969644704956,7.85293513189781,0.5,East Midlands,dur
2007,8,7.67558189132288,8.32441810867712,0.5,East Midlands,dur
2008,8.5345029239766,8.21445016996497,8.85455567798823,0.5,East Midlands,dur
2009,9.12982456140349,8.81661914384296,9.44302997896403,0.5,East Midlands,dur
2010,9.78596491228068,9.48127444498151,10.0906553795799,0.5,East Midlands,dur
2011,10.5029239766082,10.2062973247646,10.7995506284517,0.5,East Midlands,dur
2012,11.2807017543859,10.9880779982281,11.5733255105438,0.5,East Midlands,dur
2013,12.119298245614,11.8216776590708,12.4169188321572,0.5,East Midlands,dur
2014,13.0187134502924,12.7018643125217,13.335562588063,0.5,East Midlands,dur
2015,13.978947368421,13.6248671517903,14.3330275850518,0.5,East Midlands,dur
2016,15,14.5894461904037,15.4105538095962,0.5,East Midlands,dur
2017,16.0818713450292,15.5963648972516,16.5673777928067,0.5,East Midlands,dur
2018,17.2245614035087,16.6471729904583,17.8019498165591,0.5,East Midlands,dur
2019,18.4280701754385,17.7433837712445,19.1127565796326,0.5,East Midlands,dur
1990,16.0000000000001,13.011594098278,18.9884059017222,0.75,East Midlands,dur
1991,15.1250000000001,12.4440204840646,17.8059795159356,0.75,East Midlands,dur
1992,14.3333333333334,11.9414842413385,16.7251824253284,0.75,East Midlands,dur
1993,13.6250000000001,11.5037261455093,15.7462738544909,0.75,East Midlands,dur
1994,13.0000000000001,11.1304097357395,14.8695902642607,0.75,East Midlands,dur
1995,12.4583333333334,10.8210960501288,14.095570616538,0.75,East Midlands,dur
1996,12.0000000000001,10.5752121304068,13.4247878695933,0.75,East Midlands,dur
