year,fit,lower,higher,tau,region
2005,16.4184873949581,16.0634920067983,16.7734827831179,0.75,North West
2006,17.0000000000001,16.6423331133018,17.3576668866984,0.75,North West
2007,17.5848739495799,17.2274213691083,17.9423265300516,0.75,North West
2008,18.1731092436976,17.8174462777718,18.5287722096234,0.75,North West
2009,18.7647058823531,18.4105756420112,19.1188361226949,0.75,North West
2010,19.3596638655463,19.0044218753726,19.7149058557201,0.75,North West
2011,19.9579831932774,19.5961442713945,20.3198221151604,0.75,North West
2012,20.5596638655463,20.1827789985147,20.9365487325779,0.75,North West
2013,21.1647058823531,20.7617658289619,21.5676459357443,0.75,North West
2014,21.7731092436976,21.3314313902046,22.2147870971906,0.75,North West
2015,22.38487394958,21.8911415932656,22.8786063058943,0.75,North West
2016,23.0000000000001,22.4410830183581,23.5589169816421,0.75,North West
2017,23.6184873949581,22.9818897216614,24.2550850682548,0.75,North West
2018,24.2403361344539,23.5143323351738,24.966339933734,0.75,North West
2019,24.8655462184875,24.0391415609721,25.6919508760029,0.75,North West
1990,1.44642857142856,-3.48031462149986,6.37317176435697,0.25,Northern Ireland
1991,1.74999999999999,-2.67348347129279,6.17348347129276,0.25,Northern Ireland
1992,2.03571428571427,-1.9104028643363,5.98183143576485,0.25,Northern Ireland
1993,2.30357142857142,-1.19117854832337,5.79832140546621,0.25,Northern Ireland
1994,2.55357142857142,-0.515956031904748,5.62309888904759,0.25,Northern Ireland
1995,2.78571428571428,0.115060031168736,5.45636854025982,0.25,Northern Ireland
1996,2.99999999999999,0.70157452770733,5.29842547229265,0.25,Northern Ireland
1997,3.19642857142856,1.24314962354068,5.14970751931644,0.25,Northern Ireland
1998,3.37499999999999,1.73911447661694,5.01088552338304,0.25,Northern Ireland
1999,3.53571428571428,2.18840386999889,4.88302470142966,0.25,Northern Ireland
2000,3.67857142857142,2.5892621534541,4.76788070368874,0.25,Northern Ireland
2001,3.80357142857142,2.93870104068213,4.66844181646071,0.25,Northern Ireland
2002,3.91071428571428,3.23159577336535,4.58983279806321,0.25,Northern Ireland
2003,4,3.45977456251849,4.5402254374815,0.25,Northern Ireland
2004,4.07142857142857,3.61374109197354,4.52911605088359,0.25,Northern Ireland
2005,4.125,3.69191316460011,4.55808683539988,0.25,Northern Ireland
2006,4.16071428571428,3.70963890589627,4.61178966553229,0.25,Northern Ireland
2007,4.17857142857143,3.69024208557996,4.66690077156289,0.25,Northern Ireland
2008,4.17857142857143,3.65156649275749,4.70557636438537,0.25,Northern Ireland
2009,4.16071428571428,3.60361257485476,4.71781599657381,0.25,Northern Ireland
2010,4.125,3.5511147803244,4.6988852196756,0.25,Northern Ireland
2011,4.07142857142857,3.49559756301327,4.64725957984387,0.25,Northern Ireland
2012,4,3.43618975228084,4.56381024771916,0.25,Northern Ireland
2013,3.91071428571429,3.36945506000063,4.45197351142795,0.25,Northern Ireland
2014,3.80357142857143,3.2883604186665,4.31878243847636,0.25,Northern Ireland
2015,3.67857142857143,3.18072217642237,4.17642068072049,0.25,Northern Ireland
2016,3.53571428571429,3.02912529122005,4.04230328020853,0.25,Northern Ireland
2017,3.375,2.81632177090509,3.93367822909492,0.25,Northern Ireland
2018,3.19642857142858,2.53418154098304,3.85867560187411,0.25,Northern Ireland
2019,3.00000000000001,2.18505270179566,3.81494729820435,0.25,Northern Ireland
1990,-8.00000000000003,-14.0574748655776,-1.94252513442249,0.5,Northern Ireland
1991,-6.61111111111114,-11.9815890035349,-1.24063321868738,0.5,Northern Ireland
1992,-5.2777777777778,-10.0003987041659,-0.555156851389668,0.5,Northern Ireland
1993,-4.00000000000002,-8.11394183965057,0.113941839650519,0.5,Northern Ireland
