yr,year_init,pc
2017,1997,0.0465717981888745
2017,1998,0.0491591203104787
2017,1999,0.0452781371280724
2017,2000,0.0569210866752911
2017,2001,0.03751617076326
2017,2002,0.0452781371280724
2017,2003,0.0323415265200517
2017,2004,0.0297542043984476
2017,2005,0.0336351875808538
2017,2006,0.0297542043984476
2017,2007,0.0349288486416559
2017,2008,0.0323415265200517
2017,2009,0.0271668822768435
2017,2010,0.0271668822768435
2017,2011,0.018111254851229
2017,2012,0.0206985769728331
2017,2013,0.0168175937904269
2017,2014,0.0168175937904269
2017,2015,0.0206985769728331
2017,2016,0.0129366106080207
2017,2017,0.0284605433376455
2018,1970,0
2018,1971,0
2018,1972,0
2018,1973,0
2018,1974,0
2018,1975,0
2018,1976,0
2018,1977,0
2018,1978,0
2018,1979,0
2018,1980,0
2018,1981,0.00275103163686382
2018,1982,0.00550206327372765
2018,1983,0.00137551581843191
2018,1984,0.00137551581843191
2018,1985,0.00825309491059147
2018,1986,0.00550206327372765
2018,1987,0.00412654745529574
2018,1988,0.00550206327372765
2018,1989,0.00687757909215956
2018,1990,0.0110041265474553
2018,1991,0.0123796423658872
2018,1992,0.0206327372764787
2018,1993,0.0110041265474553
2018,1994,0.0275103163686382
2018,1995,0.0385144429160935
2018,1996,0.0371389270976616
2018,1997,0.0426409903713893
2018,1998,0.0357634112792297
2018,1999,0.0508940852819807
2018,2000,0.0398899587345254
2018,2001,0.0605226960110041
2018,2002,0.0674002751031637
2018,2003,0.0385144429160935
2018,2004,0.0357634112792297
2018,2005,0.046767537826685
2018,2006,0.0357634112792297
2018,2007,0.0357634112792297
2018,2008,0.0412654745529574
2018,2009,0.0206327372764787
2018,2010,0.0247592847317744
2018,2011,0.0261348005502063
2018,2012,0.031636863823934
2018,2013,0.0275103163686382
2018,2014,0.0288858321870702
2018,2015,0.0302613480055021
2018,2016,0.0330123796423659
2018,2017,0.0371389270976616
2018,2018,0.00962861072902338
2019,1970,0
2019,1971,0
2019,1972,0
2019,1973,0
2019,1974,0
2019,1975,0
2019,1976,0.00163934426229508
2019,1977,0.000819672131147541
2019,1978,0.00163934426229508
2019,1979,0.00163934426229508
2019,1980,0
2019,1981,0.00327868852459016
2019,1982,0.00573770491803279
2019,1983,0.0131147540983607
2019,1984,0.00491803278688525
2019,1985,0.00573770491803279
2019,1986,0.0147540983606557
2019,1987,0.00819672131147541
2019,1988,0.00655737704918033
2019,1989,0.00737704918032787
2019,1990,0.00901639344262295
2019,1991,0.0163934426229508
2019,1992,0.0204918032786885
2019,1993,0.0278688524590164
2019,1994,0.0237704918032787
2019,1995,0.0368852459016393
2019,1996,0.0377049180327869
2019,1997,0.0336065573770492
2019,1998,0.0516393442622951
2019,1999,0.040983606557377
2019,2000,0.0508196721311475
2019,2001,0.0385245901639344
2019,2002,0.0336065573770492
2019,2003,0.039344262295082
2019,2004,0.0278688524590164
2019,2005,0.039344262295082
2019,2006,0.0352459016393443
2019,2007,0.0377049180327869
2019,2008,0.0295081967213115
2019,2009,0.0360655737704918
2019,2010,0.0336065573770492
2019,2011,0.0286885245901639
2019,2012,0.0229508196721311
2019,2013,0.0221311475409836
2019,2014,0.0147540983606557
2019,2015,0.030327868852459
2019,2016,0.0270491803278689
2019,2017,0.0237704918032787
2019,2018,0.0172131147540984
2019,2019,0.0377049180327869
