year,injdurI,pc
2011,16,0.0368636629607958
2011,17,0.0368636629607958
2011,18,0.032182562902282
2011,19,0.0310122878876536
2011,20,0.0280866003510825
2011,21,0.0210649502633119
2011,22,0.0157987126974839
2011,23,0.0146284376828555
2011,24,0.0146284376828555
2011,25,0.00994733762434172
2011,26,0.00877706260971328
2011,27,0.00702165008777063
2011,28,0.0093622001170275
2011,29,0.00819192510239907
2011,30,0.00877706260971328
2011,31,0.00351082504388531
2011,32,0.00409596255119953
2011,33,0.00468110005851375
2011,34,0.00175541252194266
2011,35,0.00292568753657109
2011,36,0.000585137507314219
2011,37,0
2011,38,0.000585137507314219
2011,39,0
2011,40,0.00117027501462844
2012,0,0.049400479616307
2012,1,0.0513189448441247
2012,2,0.0575539568345324
2012,3,0.0359712230215827
2012,4,0.0398081534772182
2012,5,0.0422062350119904
2012,6,0.0364508393285372
2012,7,0.0402877697841727
2012,8,0.034052757793765
2012,9,0.0287769784172662
2012,10,0.0426858513189448
2012,11,0.045083932853717
2012,12,0.0522781774580336
2012,13,0.0369304556354916
2012,14,0.041726618705036
2012,15,0.0412470023980815
2012,16,0.037410071942446
2012,17,0.0369304556354916
2012,18,0.0316546762589928
2012,19,0.0330935251798561
2012,20,0.0297362110311751
2012,21,0.0215827338129496
2012,22,0.0177458033573141
2012,23,0.0163069544364508
2012,24,0.0119904076738609
2012,25,0.00911270983213429
2012,26,0.0105515587529976
2012,27,0.0105515587529976
2012,28,0.00863309352517986
2012,29,0.00671462829736211
2012,30,0.0100719424460432
2012,31,0.00671462829736211
2012,32,0.00383693045563549
2012,33,0.00671462829736211
2012,34,0.00431654676258993
2012,35,0.00191846522781775
2012,36,0.00191846522781775
2012,37,0.00143884892086331
2012,38,0.00239808153477218
2012,39,0.000479616306954437
2012,40,0.000479616306954437
2013,0,0.0417840375586855
2013,1,0.0446009389671362
2013,2,0.0347417840375587
2013,3,0.0323943661971831
2013,4,0.028169014084507
2013,5,0.0366197183098592
2013,6,0.0370892018779343
2013,7,0.0305164319248826
2013,8,0.0323943661971831
2013,9,0.0347417840375587
2013,10,0.0305164319248826
2013,11,0.0333333333333333
2013,12,0.0436619718309859
2013,13,0.052112676056338
2013,14,0.0450704225352113
2013,15,0.0568075117370892
2013,16,0.0464788732394366
2013,17,0.0417840375586855
2013,18,0.0380281690140845
2013,19,0.0328638497652582
2013,20,0.036150234741784
2013,21,0.028169014084507
2013,22,0.0262910798122066
2013,23,0.0197183098591549
2013,24,0.0136150234741784
2013,25,0.0154929577464789
2013,26,0.0136150234741784
2013,27,0.00892018779342723
2013,28,0.00985915492957747
2013,29,0.0103286384976526
2013,30,0.00610328638497653
2013,31,0.00845070422535211
2013,32,0.0028169014084507
2013,33,0.00610328638497653
2013,34,0.00469483568075117
2013,35,0.00516431924882629
2013,36,0.00187793427230047
2013,37,0.00187793427230047
2013,38,0.000469483568075117
2013,39,0.00187793427230047
2013,40,0.000938967136150235
2014,0,0.029799706888129
2014,1,0.0376160234489497
2014,2,0.0390815828041036
2014,3,0.0376160234489497
2014,4,0.0327308255984367
2014,5,0.029799706888129
2014,6,0.0351734245236932
2014,7,0.0302882266731803
2014,8,0.0351734245236932
2014,9,0.0229604298974108
2014,10,0.0444553004396678
2014,11,0.0346849047386419
2014,12,0.0346849047386419
2014,13,0.0302882266731803
2014,14,0.0522716170004885
2014,15,0.0473864191499756
2014,16,0.0400586223742062
